newsIDs,ratios,invisible_by_news,visible_by_news
855309,0.5,3.0,6.0
795940,0.5,4.0,8.0
852494,0.5,5.0,10.0
851602,0.4857142857142857,17.0,35.0
840091,0.4852941176470588,33.0,68.0
815387,0.4852941176470588,33.0,68.0
851241,0.4838709677419355,60.0,124.0
910374,0.48,12.0,25.0
799484,0.4782608695652174,11.0,23.0
896667,0.4782608695652174,11.0,23.0
814007,0.4782608695652174,11.0,23.0
895221,0.47619047619047616,10.0,21.0
881138,0.47619047619047616,10.0,21.0
893687,0.47619047619047616,10.0,21.0
823841,0.47619047619047616,10.0,21.0
912823,0.47619047619047616,10.0,21.0
925167,0.47368421052631576,9.0,19.0
872425,0.47368421052631576,9.0,19.0
813846,0.47368421052631576,9.0,19.0
862187,0.47368421052631576,9.0,19.0
845656,0.47368421052631576,9.0,19.0
897050,0.47368421052631576,9.0,19.0
916827,0.47058823529411764,24.0,51.0
935987,0.47058823529411764,8.0,17.0
870911,0.47058823529411764,16.0,34.0
823146,0.47058823529411764,8.0,17.0
840832,0.46875,15.0,32.0
840266,0.46774193548387094,29.0,62.0
820701,0.4666666666666667,7.0,15.0
912384,0.4666666666666667,7.0,15.0
862246,0.4666666666666667,7.0,15.0
810410,0.4666666666666667,7.0,15.0
791256,0.4666666666666667,21.0,45.0
858476,0.4642857142857143,39.0,84.0
853769,0.46153846153846156,6.0,13.0
798075,0.46153846153846156,6.0,13.0
845757,0.46153846153846156,6.0,13.0
908402,0.46153846153846156,6.0,13.0
893765,0.46153846153846156,6.0,13.0
768465,0.46153846153846156,18.0,39.0
828887,0.46153846153846156,6.0,13.0
894980,0.46153846153846156,6.0,13.0
920509,0.46153846153846156,6.0,13.0
817055,0.46153846153846156,18.0,39.0
894291,0.46153846153846156,6.0,13.0
872405,0.46153846153846156,6.0,13.0
893718,0.46153846153846156,6.0,13.0
837522,0.46153846153846156,24.0,52.0
888686,0.46153846153846156,6.0,13.0
860230,0.4603174603174603,29.0,63.0
